creator_name,number_courses,avg_rating,courses_names,courses_ref
University of California,27,4.45,"Foundations of Objective-C App Development -- Networking and Security in iOS Applications -- Best Practices for iOS User Interface Design -- Games, Sensors and Media -- Toward the Future of iOS Development with Swift -- iOS Project: Transreality Game -- Fundraising and Development Foundations -- Annual Campaigns: Building a Case for Support -- Major and Principal Gifts -- Planned Giving -- Algorithmic Toolbox -- Data Structures -- Algorithms on Graphs -- Algorithms on Strings -- Advanced Algorithms and Complexity -- Genome Assembly Programming Challenge -- Introduction to Big Data -- Big Data Modeling and Management Systems -- Big Data Integration and Processing -- Machine Learning With Big Data -- Graph Analytics for Big Data -- Big Data - Capstone Project -- Object Oriented Programming in Java -- Data Structures and Performance -- Advanced Data Structures in Java -- Mastering the Software Engineering Interview -- Capstone: Analyzing (Social) Network Data",https://www.coursera.org/learn/objective-c -- https://www.coursera.org/learn/security -- https://www.coursera.org/learn/ui -- https://www.coursera.org/learn/games -- https://www.coursera.org/learn/iosswift -- https://www.coursera.org/learn/transreality-gaming -- https://www.coursera.org/learn/fundraising-development -- https://www.coursera.org/learn/annual-campaigns -- https://www.coursera.org/learn/major-principal-gifts -- https://www.coursera.org/learn/planned-giving -- https://www.coursera.org/learn/algorithmic-toolbox -- https://www.coursera.org/learn/data-structures -- https://www.coursera.org/learn/algorithms-on-graphs -- https://www.coursera.org/learn/algorithms-on-strings -- https://www.coursera.org/learn/advanced-algorithms-and-complexity -- https://www.coursera.org/learn/assembling-genomes -- https://www.coursera.org/learn/big-data-introduction -- https://www.coursera.org/learn/big-data-management -- https://www.coursera.org/learn/big-data-integration-processing -- https://www.coursera.org/learn/big-data-machine-learning -- https://www.coursera.org/learn/big-data-graph-analytics -- https://www.coursera.org/learn/big-data-project -- https://www.coursera.org/learn/object-oriented-java -- https://www.coursera.org/learn/data-structures-optimizing-performance -- https://www.coursera.org/learn/advanced-data-structures -- https://www.coursera.org/learn/cs-tech-interview -- https://www.coursera.org/learn/intermediate-programming-capstone
Irvine,6,4.53,"Foundations of Objective-C App Development -- Networking and Security in iOS Applications -- Best Practices for iOS User Interface Design -- Games, Sensors and Media -- Toward the Future of iOS Development with Swift -- iOS Project: Transreality Game",https://www.coursera.org/learn/objective-c -- https://www.coursera.org/learn/security -- https://www.coursera.org/learn/ui -- https://www.coursera.org/learn/games -- https://www.coursera.org/learn/iosswift -- https://www.coursera.org/learn/transreality-gaming
University of London,6,4.55,"Responsive Website Basics: Code with HTML, CSS, and JavaScript -- Responsive Web Design -- Introduction to Meteor.js Development -- Web Application Development with JavaScript and MongoDB -- Responsive Website Tutorial and Examples -- Responsive Website Development and Design Capstone",https://www.coursera.org/learn/website-coding -- https://www.coursera.org/learn/responsive-web-design -- https://www.coursera.org/learn/meteor-development -- https://www.coursera.org/learn/web-application-development -- https://www.coursera.org/learn/responsive-website-examples -- https://www.coursera.org/learn/responsive-web-design-capstone
Goldsmiths,6,4.55,"Responsive Website Basics: Code with HTML, CSS, and JavaScript -- Responsive Web Design -- Introduction to Meteor.js Development -- Web Application Development with JavaScript and MongoDB -- Responsive Website Tutorial and Examples -- Responsive Website Development and Design Capstone",https://www.coursera.org/learn/website-coding -- https://www.coursera.org/learn/responsive-web-design -- https://www.coursera.org/learn/meteor-development -- https://www.coursera.org/learn/web-application-development -- https://www.coursera.org/learn/responsive-website-examples -- https://www.coursera.org/learn/responsive-web-design-capstone
Johns Hopkins University,19,4.37,"Ruby on Rails: An Introduction -- Rails with Active Record and Action Pack -- Ruby on Rails Web Services and Integration with MongoDB -- HTML, CSS, and Javascript for Web Developers -- Single Page Web Applications with AngularJS -- Capstone: Photo Tourist Web Application -- The R Programming Environment -- Advanced R Programming -- Building R Packages -- Building Data Visualization Tools -- Mastering Software Development in R Capstone -- Introduction to Genomic Technologies -- Genomic Data Science with Galaxy -- Python for Genomic Data Science -- Algorithms for DNA Sequencing -- Command Line Tools for Genomic Data Science -- Bioconductor for Genomic Data Science -- Statistics for Genomic Data Science -- Genomic Data Science Capstone",https://www.coursera.org/learn/ruby-on-rails-intro -- https://www.coursera.org/learn/rails-with-active-record -- https://www.coursera.org/learn/ruby-on-rails-web-services-mongodb -- https://www.coursera.org/learn/html-css-javascript-for-web-developers -- https://www.coursera.org/learn/single-page-web-apps-with-angularjs -- https://www.coursera.org/learn/photo-tourist-web-app-capstone -- https://www.coursera.org/learn/r-programming-environment -- https://www.coursera.org/learn/advanced-r -- https://www.coursera.org/learn/r-packages -- https://www.coursera.org/learn/r-data-visualization -- https://www.coursera.org/learn/r-capstone -- https://www.coursera.org/learn/introduction-genomics -- https://www.coursera.org/learn/galaxy-project -- https://www.coursera.org/learn/python-genomics -- https://www.coursera.org/learn/dna-sequencing -- https://www.coursera.org/learn/genomic-tools -- https://www.coursera.org/learn/bioconductor -- https://www.coursera.org/learn/statistical-genomics -- https://www.coursera.org/learn/genomic-data-science-project
Vanderbilt University,5,4.28,"Java for Android -- Android App Components - Intents, Activities, and Broadcast Receivers -- Android App Components - Services, Local IPC, and Content Providers -- Engineering Maintainable Android Apps -- Capstone MOOC for ""Android App Development""",https://www.coursera.org/learn/java-for-android -- https://www.coursera.org/learn/androidapps -- https://www.coursera.org/learn/androidapps-2 -- https://www.coursera.org/learn/engineeringandroidapps -- https://www.coursera.org/learn/aadcapstone
Michigan State University,5,4.62,Introduction to Game Development -- Principles of Game Design -- Business of Games and Entrepreneurship -- Game Development for Modern Platforms -- Game Design and Development Capstone,https://www.coursera.org/learn/game-development -- https://www.coursera.org/learn/gamedesign -- https://www.coursera.org/learn/gamedev-business -- https://www.coursera.org/learn/gamedev-platforms -- https://www.coursera.org/learn/gamedev-capstone
University of Virginia,5,4.62,Agile Meets Design Thinking -- Running Product Design Sprints -- Managing an Agile Team -- Testing with Agile -- Agile Development in Practice (Project-centered Course),https://www.coursera.org/learn/uva-darden-getting-started-agile -- https://www.coursera.org/learn/uva-darden-running-design-sprints -- https://www.coursera.org/learn/uva-darden-agile-team-management -- https://www.coursera.org/learn/uva-darden-agile-testing -- https://www.coursera.org/learn/uva-darden-agile-development-capstone
University of Colorado System,19,4.66,"Introduction to C# Programming and Unity -- More C# Programming and Unity -- Intermediate Object-Oriented Programming for Unity Games -- Data Structures and Design Patterns for Game Developers -- C# Programming for Unity Game Development Capstone Project -- Requirements Gathering for Secure Software Development -- Requirements Elicitation: Artifact and Stakeholder Analysis -- Requirements Specifications: Goals and Conflict Analysis -- Software Requirements Prioritization: Risk Analysis -- SRS Documents: Requirements and Diagrammatic Notations -- Software Design as an Element of the Software Development Lifecycle -- Software Design as an Abstraction -- Software Design Methods and Tools -- Software Design Threats and Mitigations -- Database Management Essentials -- Data Warehouse Concepts, Design, and Data Integration -- Relational Database Support for Data Warehouses -- Business Intelligence Concepts, Tools, and Applications -- Design and Build a Data Warehouse for Business Intelligence Implementation",https://www.coursera.org/learn/introduction-programming-unity -- https://www.coursera.org/learn/more-programming-unity -- https://www.coursera.org/learn/intermediate-object-oriented-programming-unity-games -- https://www.coursera.org/learn/data-structures-design-patterns -- https://www.coursera.org/learn/programming-unity-game-development-project -- https://www.coursera.org/learn/requirements-gathering-secure -- https://www.coursera.org/learn/requirements-elicitation -- https://www.coursera.org/learn/requirements-specification-goals -- https://www.coursera.org/learn/software-requirements-prioritization -- https://www.coursera.org/learn/srs-documents-requirements -- https://www.coursera.org/learn/software-design-development-life-cycle -- https://www.coursera.org/learn/software-design-abstraction -- https://www.coursera.org/learn/software-design-methods-tools -- https://www.coursera.org/learn/software-design-threats-mitigations -- https://www.coursera.org/learn/database-management -- https://www.coursera.org/learn/dwdesign -- https://www.coursera.org/learn/dwrelational -- https://www.coursera.org/learn/business-intelligence-tools -- https://www.coursera.org/learn/data-warehouse-bi-building
EIT Digital,4,4.42,Embedded Hardware and Operating Systems -- Web Connectivity and Security in Embedded Systems -- Development of Real-Time Systems -- Capstone:  Autonomous Runway Detection for IoT,https://www.coursera.org/learn/embedded-operating-system -- https://www.coursera.org/learn/iot-connectivity-security -- https://www.coursera.org/learn/real-time-systems -- https://www.coursera.org/learn/autonomous-runway-detection
