courses_name,courses_ref,section,carreer,number_courses,plan,language,platform
Curso profesional de Git y GitHub ,https://platzi.com/cursos/git-github/,Carrera de Fundamentos de Programación 1 3 cursos disponibles,Fundamentos de Programación,13,Basic,Español,Platzi
Curso Gratis de Programación Básica,https://platzi.com/cursos/programacion-basica/,Carrera de Fundamentos de Programación 1 3 cursos disponibles,Fundamentos de Programación,13,Basic,Español,Platzi
Fundamentos de Ingeniería de Software,https://platzi.com/cursos/ingenieria/,Carrera de Fundamentos de Programación 1 3 cursos disponibles,Fundamentos de Programación,13,Basic,Español,Platzi
Introducción a Terminal y Línea de Comandos,https://platzi.com/cursos/terminal/,Carrera de Fundamentos de Programación 1 3 cursos disponibles,Fundamentos de Programación,13,Basic,Español,Platzi
Fundamentos de Bases de Datos ,https://platzi.com/cursos/bd/,Carrera de Fundamentos de Programación 1 3 cursos disponibles,Fundamentos de Programación,13,Basic,Español,Platzi
Curso de Algoritmos con C,https://platzi.com/cursos/algoritmos/,Carrera de Fundamentos de Programación 1 3 cursos disponibles,Fundamentos de Programación,13,Basic,Español,Platzi
Fundamentos de Arquitectura de Software,https://platzi.com/cursos/arquitectura-software/,Carrera de Fundamentos de Programación 1 3 cursos disponibles,Fundamentos de Programación,13,Basic,Español,Platzi
Curso Profesional de Arquitectura de Software,https://platzi.com/cursos/pro-arquitectura/,Carrera de Fundamentos de Programación 1 3 cursos disponibles,Fundamentos de Programación,13,Basic,Español,Platzi
Curso de Programación para Padres y Niños,https://platzi.com/cursos/programacion-ninos/,Carrera de Fundamentos de Programación 1 3 cursos disponibles,Fundamentos de Programación,13,Basic,Español,Platzi
Curso de Expresiones Regulares,https://platzi.com/cursos/expresiones-regulares/,Carrera de Fundamentos de Programación 1 3 cursos disponibles,Fundamentos de Programación,13,Basic,Español,Platzi
Escuela de Maestros Platzi,https://platzi.com/cursos/maestros/,Carrera de Fundamentos de Programación 1 3 cursos disponibles,Fundamentos de Programación,13,Basic,Español,Platzi
Curso de CodeStream,https://platzi.com/cursos/comunicacion-codestream/,Carrera de Fundamentos de Programación 1 3 cursos disponibles,Fundamentos de Programación,13,Basic,Español,Platzi
Curso de Redes de Internet,https://platzi.com/cursos/redes/,Carrera de Fundamentos de Programación 1 3 cursos disponibles,Fundamentos de Programación,13,Basic,Español,Platzi
Curso de Algoritmos con C,https://platzi.com/cursos/algoritmos/,Carrera de Internet of Things 5 cursos disponibles,Internet of Things,5,Basic,Español,Platzi
Fundamentos de Desarrollo de Hardware con Arduino,https://platzi.com/cursos/fundamentos-arduino/,Carrera de Internet of Things 5 cursos disponibles,Internet of Things,5,Basic,Español,Platzi
Curso de Robótica con Arduino,https://platzi.com/cursos/robotica-arduino/,Carrera de Internet of Things 5 cursos disponibles,Internet of Things,5,Basic,Español,Platzi
Curso Avanzado de Node.js ,https://platzi.com/cursos/nodejs/,Carrera de Internet of Things 5 cursos disponibles,Internet of Things,5,Basic,Español,Platzi
Curso de Diseño de Circuitos Electrónicos,https://platzi.com/cursos/circuitos-electronicos/,Carrera de Internet of Things 5 cursos disponibles,Internet of Things,5,Basic,Español,Platzi
Curso de Probabilidad y Estadística,https://platzi.com/cursos/probabilidad-estadistica/,Carrera de Matemáticas para Programación 7 cursos disponibles,Matemáticas para Programación,7,Basic,Español,Platzi
Curso de Matemáticas Discretas,https://platzi.com/cursos/discretas/,Carrera de Matemáticas para Programación 7 cursos disponibles,Matemáticas para Programación,7,Basic,Español,Platzi
Curso de Ecuaciones Diferenciales,https://platzi.com/cursos/ecuaciones/,Carrera de Matemáticas para Programación 7 cursos disponibles,Matemáticas para Programación,7,Basic,Español,Platzi
Curso de Cálculo para Análisis de Datos,https://platzi.com/cursos/calculo-datos/,Carrera de Matemáticas para Programación 7 cursos disponibles,Matemáticas para Programación,7,Basic,Español,Platzi
