instructor_name,label,company/profession,number_courses,avg_rating,courses_names,courses_ref
Don Patterson,Associate Professor,NA,5,4.68,"Foundations of Objective-C App Development -- Networking and Security in iOS Applications -- Best Practices for iOS User Interface Design -- Games, Sensors and Media -- iOS Project: Transreality Game",https://www.coursera.org/learn/objective-c -- https://www.coursera.org/learn/security -- https://www.coursera.org/learn/ui -- https://www.coursera.org/learn/games -- https://www.coursera.org/learn/transreality-gaming
Sam Kaufman,Partner at Gradient,NA,5,4.68,"Foundations of Objective-C App Development -- Networking and Security in iOS Applications -- Best Practices for iOS User Interface Design -- Games, Sensors and Media -- iOS Project: Transreality Game",https://www.coursera.org/learn/objective-c -- https://www.coursera.org/learn/security -- https://www.coursera.org/learn/ui -- https://www.coursera.org/learn/games -- https://www.coursera.org/learn/transreality-gaming
Justin-Nicholas Toyama ,UCI Extension Instructor,NA,1,3.8,Toward the Future of iOS Development with Swift,https://www.coursera.org/learn/iosswift
Frank Ayars ,UCI Extension Instructor,NA,1,3.8,Toward the Future of iOS Development with Swift,https://www.coursera.org/learn/iosswift
Ralf Brockhaus ,UCI Extension Instructor,NA,1,3.8,Toward the Future of iOS Development with Swift,https://www.coursera.org/learn/iosswift
Dr Matthew Yee-King,Lecturer,NA,6,4.55,"Responsive Website Basics: Code with HTML, CSS, and JavaScript -- Responsive Web Design -- Introduction to Meteor.js Development -- Web Application Development with JavaScript and MongoDB -- Responsive Website Tutorial and Examples -- Responsive Website Development and Design Capstone",https://www.coursera.org/learn/website-coding -- https://www.coursera.org/learn/responsive-web-design -- https://www.coursera.org/learn/meteor-development -- https://www.coursera.org/learn/web-application-development -- https://www.coursera.org/learn/responsive-website-examples -- https://www.coursera.org/learn/responsive-web-design-capstone
Dr Marco Gillies,Senior Lecturer,NA,2,4.55,"Responsive Website Basics: Code with HTML, CSS, and JavaScript -- Responsive Web Design",https://www.coursera.org/learn/website-coding -- https://www.coursera.org/learn/responsive-web-design
Dr Kate Devlin,Senior Lecturer,NA,2,4.55,"Responsive Website Basics: Code with HTML, CSS, and JavaScript -- Responsive Web Design",https://www.coursera.org/learn/website-coding -- https://www.coursera.org/learn/responsive-web-design
Dr Mick Grierson,Reader,NA,2,4.4,Responsive Web Design -- Responsive Website Tutorial and Examples,https://www.coursera.org/learn/responsive-web-design -- https://www.coursera.org/learn/responsive-website-examples
Dr James Ohene-Djan,Senior Lecturer and Assistant Pro Warden,NA,1,4.8,Responsive Website Development and Design Capstone,https://www.coursera.org/learn/responsive-web-design-capstone
Kalman Hazins,Adjunct Professor,Graduate Computer Science,2,4.6,Ruby on Rails: An Introduction -- Rails with Active Record and Action Pack,https://www.coursera.org/learn/ruby-on-rails-intro -- https://www.coursera.org/learn/rails-with-active-record
Kiran Chittargi,Adjunct Professor,Graduate Computer Science,1,4.3,Ruby on Rails Web Services and Integration with MongoDB,https://www.coursera.org/learn/ruby-on-rails-web-services-mongodb
Yaakov Chaikin,Adjunct Professor,Graduate Computer Science,2,4.9,"HTML, CSS, and Javascript for Web Developers -- Single Page Web Applications with AngularJS",https://www.coursera.org/learn/html-css-javascript-for-web-developers -- https://www.coursera.org/learn/single-page-web-apps-with-angularjs
Jim Stafford,Adjunct Professor,Graduate Computer Science,1,4.7,Capstone: Photo Tourist Web Application,https://www.coursera.org/learn/photo-tourist-web-app-capstone
Dr. Jerry Roth,Professor of the Practice,NA,1,4.5,Java for Android,https://www.coursera.org/learn/java-for-android
Dr. Julie L. Johnson,Instructor,NA,1,4.5,Java for Android,https://www.coursera.org/learn/java-for-android
Michael Walker,Instructor,NA,4,4.28,"Java for Android -- Android App Components - Intents, Activities, and Broadcast Receivers -- Engineering Maintainable Android Apps -- Capstone MOOC for ""Android App Development""",https://www.coursera.org/learn/java-for-android -- https://www.coursera.org/learn/androidapps -- https://www.coursera.org/learn/engineeringandroidapps -- https://www.coursera.org/learn/aadcapstone
Graduate Student pursuing PhD in Computer Science,NA,NA,4,4.28,"Java for Android -- Android App Components - Intents, Activities, and Broadcast Receivers -- Engineering Maintainable Android Apps -- Capstone MOOC for ""Android App Development""",https://www.coursera.org/learn/java-for-android -- https://www.coursera.org/learn/androidapps -- https://www.coursera.org/learn/engineeringandroidapps -- https://www.coursera.org/learn/aadcapstone
Dr. Douglas C. Schmidt,Professor of Computer Science and Associate Chair of the Computer Science and Engineering Program,NA,5,4.28,"Java for Android -- Android App Components - Intents, Activities, and Broadcast Receivers -- Android App Components - Services, Local IPC, and Content Providers -- Engineering Maintainable Android Apps -- Capstone MOOC for ""Android App Development""",https://www.coursera.org/learn/java-for-android -- https://www.coursera.org/learn/androidapps -- https://www.coursera.org/learn/androidapps-2 -- https://www.coursera.org/learn/engineeringandroidapps -- https://www.coursera.org/learn/aadcapstone
Dr. C. Jules White,Assistant Professor of Computer Science,NA,3,4.2,"Android App Components - Intents, Activities, and Broadcast Receivers -- Engineering Maintainable Android Apps -- Capstone MOOC for ""Android App Development""",https://www.coursera.org/learn/androidapps -- https://www.coursera.org/learn/engineeringandroidapps -- https://www.coursera.org/learn/aadcapstone
Brian Winn,Associate Professor,NA,3,4.77,Introduction to Game Development -- Game Development for Modern Platforms -- Game Design and Development Capstone,https://www.coursera.org/learn/game-development -- https://www.coursera.org/learn/gamedev-platforms -- https://www.coursera.org/learn/gamedev-capstone
Casey O'Donnell,Associate Professor,NA,3,4.5,Principles of Game Design -- Business of Games and Entrepreneurship -- Game Design and Development Capstone,https://www.coursera.org/learn/gamedesign -- https://www.coursera.org/learn/gamedev-business -- https://www.coursera.org/learn/gamedev-capstone
